Business Name,City,Filing Date,Website,Match,Reason,actually valid,reason why
Banks Outdoor Solutions L.L.C.,Royalton,4/30/2026,https://banksoutdoors.com/?srsltid=AfmBOorEa3ghOV7BRCuiPSjulEZ3MAgXa6ma9QdJfTp1jBoMdWQmI8Cr,YES,"The business name explicitly includes ""Outdoor Solutions"" but the website clearly indicates a physical storefront and sells outdoor sports-related gear and equipment.",no,"they have dealers, they dont have their own storefront"
Driftless Edge Outdoors LLC		,Winona,5/7/2026,https://www.facebook.com/100093085982425/mentions/,YES,"The business name ""Driftless Edge Outdoors LLC"" clearly indicates a physical retail store selling outdoor sports equipment, gear, or apparel.",no,no strong proof of brick and mortar
Central Minnesota Bowfishing. LLC,Becker,5/6/2026,https://www.instagram.com/reel/DYPVPGCxDnX/,YES,"The business name clearly indicates a physical store related to outdoor sports, specifically bowfishing.",no,no strong proof of brick and mortar
Eli Rohloff Fishing LLC,Owatonna,5/21/2026,https://www.facebook.com/eli.rohloff.31/,YES,"The business name ""Eli Rohloff Fishing LLC"" clearly indicates a specialty store selling fishing-related goods, suggesting it is an outdoor sports retailer.",no,no strong proof of brick and mortar
Pine Lake Fishing Club & Campground L.L.C.,St Louis Park,5/6/2026,https://www.pinelaketc.com/,YES,"Although the business name suggests a recreational fishing club, its website content clearly indicates it's a membership-based retreat and dining experience with accommodations, making it more of a campground and resort than an outdoor sports retailer.",yes,"Yeah this is fair, but like they are a resort looking for donations and not retail. But resorts should count!"
Big Bear Outfitters LLC,Grygla,5/23/2026,—,YES,"The business name ""Big Bear Outfitters"" clearly indicates a brick-and-mortar retail store selling outdoor sports equipment, gear, or apparel.",no,"no strong proof of brick and mortar.. htey are just an outfitter, dont sell anything"
Fountain Lake Outfitters LLC,Albert Lea,5/18/2026,—,YES,"The business name ""Fountain Lake Outfitters LLC"" clearly indicates a retail store selling outdoor sports-related gear, suggesting a physical storefront.",Yes,great match
Last Stand Outfitters,,5/15/2026,https://www.yumpu.com/en/document/view/29855404/board-of-outfitters-list-of-active-licensed-outfitters-montana-dli,YES,"The business name ""Last Stand Outfitters"" suggests a physical retail store with an outdoor theme.",this is montana	,
Savage Outfitters LLC,Littlefork,5/21/2026,https://www.facebook.com/p/Savage-Outfitters-100088248404391/,YES,"The business name ""Savage Outfitters LLC"" clearly suggests a retail store focused on outfitting customers for outdoor activities.",no,
Roc's guide services LLC,Elk River,4/30/2026,https://www.facebook.com/mattquickoutdoors/,YES,"The business name clearly includes ""guide service"", which indicates it is a guide service, charter, or tour operator that sells experiences rather than gear.",no,no storefront
Heritage Trails Faribault LLC,Alexandria,5/8/2026,https://www.ci.faribault.mn.us/DocumentCenter/View/2849/Parks-and-Trails-Map,YES,"The business name, ""Heritage Trails Faribault LLC"", suggests a retail location focused on outdoor activities and trails.",no,no business!!
Andy’s Adventures LLC,Brainerd,5/15/2026,https://www.youtube.com/watch?v=YnaDPdy9wJs,YES,"The business name ""Andy's Adventures LLC"" and the YouTube channel titles suggest a focus on outdoor/exploratory activities, which implies a retail store selling related gear or apparel is likely associated with the business.",no,no strong connection to a real business
Bills Camping Accessories LLC,Brainerd,5/8/2026,https://www.yelp.com/search?cflt=outdoorgear&find_loc=Brainerd%2C+MN+56401,YES,"The business name ""Bills Camping Accessories LLC"" clearly indicates a physical retail store selling camping gear, suggesting it is an outdoor sports retailer with a brick-and-mortar location.",yes but no brick and mortar so like a maybe,--
Crafting Therapy LLC,Waconia,4/26/2026,https://www.instagram.com/craftingtherapymn/reels/,YES,"The business name ""Crafting Therapy LLC"" suggests a focus on crafting activities, but the addition of ""MN"" in the website handle implies a local presence, and the mention of Instagram photos and videos, which typically feature product-based content, raises the possibility that it could be a physical store.",no physical presence of a brick and mortar,
,,,,,,